,state,sat_participation_rate,sat_read_write_ave_score,sat_math_ave_score,sat_total_score,act_participation_rate,act_composite_score,region,division,sat_administered,act_administered
0,Alabama,0.07,583,560,1143,1.0,18.9,South,East South Central,,Required
1,Alaska,0.41000000000000003,556,541,1097,0.38,20.1,West,Pacific,,
2,Arizona,0.31,569,565,1134,0.73,19.0,West,Mountain,,
3,Arkansas,0.06,582,559,1141,1.0,19.3,South,West South Central,,Offered
4,California,0.63,534,531,1065,0.23,22.6,West,Pacific,,
5,Colorado,1.0,518,506,1024,0.27,23.8,West,Mountain,Required,
6,Connecticut,1.0,529,516,1046,0.22,25.5,Northeast,New England,Required,
7,Delaware,1.0,499,486,985,0.13,24.1,South,South Atlantic,Required,
8,District of Columbia,0.9400000000000001,495,480,975,0.32,23.5,South,South Atlantic,Offered,
9,Florida,1.0,516,483,999,0.54,20.1,South,South Atlantic,,
10,Georgia,0.71,538,519,1058,0.49,21.4,South,South Atlantic,,
11,Hawaii,0.54,550,550,1100,0.8,19.0,West,Pacific,,Required
12,Idaho,1.0,505,488,993,0.31,22.5,West,Mountain,Offered,
13,Illinois,1.0,509,504,1013,0.35000000000000003,24.3,Midwest,East North Central,Required,
14,Indiana,0.66,543,537,1080,0.29,22.5,Midwest,East North Central,,
15,Iowa,0.03,622,622,1244,0.66,21.6,Midwest,West North Central,,
16,Kansas,0.04,618,623,1241,0.72,21.2,Midwest,West North Central,,Offered
17,Kentucky,0.04,620,612,1232,1.0,19.8,South,East South Central,,Required
18,Louisiana,0.05,610,591,1200,1.0,18.8,South,West South Central,,Required
19,Maine,0.99,512,502,1013,0.06,24.3,Northeast,New England,Offered,
20,Maryland,0.8200000000000001,535,523,1058,0.28,22.3,South,South Atlantic,,
21,Massachusetts,0.81,559,561,1120,0.21,25.5,Northeast,New England,,
22,Michigan,1.0,507,496,1003,0.19,24.4,Midwest,East North Central,Required,
23,Minnesota,0.04,636,648,1284,0.9500000000000001,21.4,Midwest,West North Central,Offered,Offered
24,Mississippi,0.03,628,608,1237,1.0,18.4,South,East South Central,,Required
25,Missouri,0.04,622,615,1236,0.8200000000000001,20.8,Midwest,West North Central,,
26,Montana,0.09,603,596,1199,1.0,19.8,West,Mountain,,Required
27,Nebraska,0.03,628,631,1260,1.0,20.0,Midwest,West North Central,,Required
28,Nevada,0.2,580,576,1156,1.0,17.9,West,Mountain,,Required
29,New Hampshire,0.9500000000000001,533,526,1059,0.14,25.0,Northeast,New England,Required,
30,New Jersey,0.8200000000000001,544,545,1090,0.25,24.2,Northeast,Middle Atlantic,,
31,New Mexico,0.18,543,530,1073,0.63,19.3,West,Mountain,,
32,New York,0.79,531,533,1064,0.22,24.5,Northeast,Middle Atlantic,,
33,North Carolina,0.51,554,546,1100,1.0,19.0,South,South Atlantic,,Required
34,North Dakota,0.02,627,636,1263,0.96,19.9,Midwest,West North Central,,Required
35,Ohio,0.19,550,548,1097,1.0,20.0,Midwest,East North Central,Required,Required
36,Oklahoma,0.22,490,472,963,1.0,18.9,South,West South Central,Required,Required
37,Oregon,0.51,562,550,1112,0.42,21.1,West,Pacific,,
38,Pennsylvania,0.7000000000000001,545,537,1082,0.17,23.6,Northeast,Middle Atlantic,,
39,Rhode Island,1.0,503,492,995,0.12,24.7,Northeast,New England,Required,
40,South Carolina,0.68,526,504,1030,0.78,18.8,South,South Atlantic,Required,Required
41,South Dakota,0.03,633,635,1268,0.75,21.6,Midwest,West North Central,,
42,Tennessee,0.07,618,602,1220,1.0,19.4,South,East South Central,Required,Required
43,Texas,0.68,515,507,1022,0.39,20.5,South,West South Central,,
44,Utah,0.04,614,615,1230,1.0,20.3,West,Mountain,,Required
45,Vermont,0.66,560,546,1106,0.2,24.1,Northeast,New England,,
46,Virginia,0.68,567,551,1119,0.21,24.0,South,South Atlantic,,
47,Washington,0.7000000000000001,539,535,1074,0.24,22.1,West,Pacific,,
48,West Virginia,0.99,483,460,943,0.49,20.8,South,South Atlantic,Required,
49,Wisconsin,0.03,635,648,1283,1.0,20.3,Midwest,East North Central,,Required
50,Wyoming,0.03,623,615,1238,1.0,19.8,West,Mountain,,Required
